age;workclass;education;education-num;marital-status;occupation;relationship;race;sex;hours-per-week;native-country;capital_gain_bin;capital_loss_bin;income
39;5;9;13;4;0;1;4;1;40;38;1;0;0
50;4;9;13;2;3;0;4;1;13;38;0;0;0
38;2;11;9;0;5;1;4;1;40;38;0;0;0
53;2;1;7;2;5;0;2;1;40;38;0;0;0
28;2;9;13;2;9;5;2;0;40;4;0;0;0
37;2;12;14;2;3;5;4;0;40;38;0;0;0
49;2;6;5;3;7;1;2;0;16;22;0;0;0
52;4;11;9;2;3;0;4;1;45;38;0;0;1
31;2;12;14;4;9;1;4;0;50;38;1;0;1
42;2;9;13;2;3;0;4;1;40;38;1;0;1
37;2;15;10;2;3;0;2;1;80;38;0;0;1
30;5;9;13;2;9;0;1;1;40;18;0;0;1
23;2;9;13;4;0;3;4;0;30;38;0;0;0
32;2;7;12;4;11;1;2;1;50;38;0;0;0
34;2;5;4;2;13;0;0;1;45;25;0;0;0
25;4;11;9;4;4;3;4;1;35;38;0;0;0
32;2;11;9;4;6;4;4;1;40;38;0;0;0
38;2;1;7;2;11;0;4;1;50;38;0;0;0
43;4;12;14;0;3;4;4;0;45;38;0;0;1
40;2;10;16;2;9;0;4;1;60;38;0;0;1
54;2;11;9;5;7;4;2;0;20;38;0;0;0
35;0;6;5;2;4;0;2;1;40;38;0;0;0
43;2;1;7;2;13;0;4;1;40;38;0;1;0
59;2;11;9;0;12;4;4;0;40;38;0;0;0
56;1;9;13;2;12;0;4;1;40;38;0;0;1
19;2;11;9;4;2;3;4;1;40;38;0;0;0
39;2;11;9;0;3;1;4;1;80;38;0;0;0
49;2;11;9;2;2;0;4;1;40;38;0;0;0
23;1;7;12;4;10;1;4;1;52;38;0;0;0
20;2;15;10;4;11;3;2;1;44;38;0;0;0
45;2;9;13;0;3;3;4;1;40;38;0;1;0
30;0;15;10;2;0;3;4;1;40;38;0;0;0
22;5;15;10;2;7;0;2;1;15;38;0;0;0
48;2;1;7;4;6;4;4;1;40;32;0;0;0
21;2;15;10;4;6;3;4;1;40;38;0;0;0
19;2;11;9;1;0;5;4;0;25;38;0;0;0
48;4;7;12;2;9;0;4;1;40;38;0;0;0
31;2;6;5;2;6;0;4;1;43;38;0;0;0
53;4;9;13;2;9;0;4;1;40;38;0;0;0
24;2;9;13;2;12;0;4;1;50;38;0;0;0
49;2;11;9;5;0;4;4;0;40;38;0;0;0
25;2;11;9;4;5;1;4;1;35;38;0;0;0
57;0;9;13;2;9;0;2;1;40;38;0;0;1
53;2;11;9;2;6;0;4;1;38;38;0;0;0
44;2;12;14;0;3;4;4;0;40;38;0;0;0
41;5;8;11;2;2;0;4;1;40;38;0;0;0
29;2;8;11;4;9;1;4;1;43;38;0;0;0
25;2;15;10;2;3;5;3;0;40;38;0;0;0
47;2;14;15;2;9;5;4;0;60;15;0;1;1
50;0;9;13;0;3;1;4;1;55;38;0;0;1
47;3;11;9;0;3;1;4;1;60;38;0;0;0
43;2;15;10;2;12;0;4;1;40;38;0;0;1
46;2;4;3;2;6;0;4;1;40;25;0;0;0
35;2;8;11;2;7;0;4;1;40;32;0;0;0
41;2;11;9;2;0;0;4;1;48;38;0;0;0
30;2;11;9;2;6;0;4;1;40;38;1;0;0
30;2;9;13;2;11;0;4;1;40;38;1;0;0
48;2;11;9;2;13;0;4;1;40;38;0;0;0
42;2;10;16;2;9;0;4;1;45;38;0;0;1
29;2;15;10;0;12;1;4;1;58;38;0;0;0
36;2;11;9;2;2;0;4;1;40;38;0;0;0
28;2;15;10;0;0;1;4;0;40;38;0;0;0
53;2;11;9;2;0;5;4;0;40;38;0;0;1
49;3;15;10;2;3;0;4;1;50;38;0;0;1
19;2;15;10;4;9;3;4;1;32;38;0;0;0
31;2;9;13;5;11;3;2;0;40;38;0;0;0
29;4;9;13;2;11;0;4;1;70;38;0;0;1
23;2;15;10;4;6;1;4;1;40;38;0;0;0
79;2;15;10;2;9;2;4;1;20;38;0;0;0
27;2;11;9;4;7;3;4;1;40;25;0;0;0
40;2;7;12;2;0;0;4;1;40;38;0;0;0
18;2;1;7;4;7;3;4;0;22;38;0;0;0
31;1;5;4;2;4;0;4;1;40;38;0;0;0
18;2;11;9;4;11;1;4;1;30;38;0;0;0
52;2;9;13;2;7;0;4;1;40;4;0;0;0
46;2;11;9;2;7;5;4;0;40;38;0;0;0
59;2;11;9;2;11;0;4;1;48;38;0;0;0
44;2;11;9;0;2;1;4;0;40;38;1;0;1
53;2;11;9;0;11;3;4;0;35;38;0;0;0
49;1;11;9;2;10;0;4;1;40;38;0;0;1
33;2;12;14;2;9;0;4;1;50;38;0;0;0
30;2;6;5;4;11;1;4;1;40;38;0;0;0
43;0;10;16;4;9;1;4;0;50;38;0;0;1
57;2;8;11;2;9;0;4;1;40;38;0;0;0
37;2;15;10;0;2;4;4;0;40;38;0;0;0
28;2;15;10;0;6;4;2;0;25;38;0;0;0
34;1;9;13;2;10;0;4;1;40;38;0;0;1
29;1;15;10;4;5;1;4;1;50;38;0;0;0
48;4;10;16;2;9;0;4;1;60;38;0;1;1
37;2;15;10;2;11;0;4;1;48;38;0;0;1
48;2;7;12;0;3;4;4;0;40;8;0;0;0
32;0;11;9;4;7;3;2;1;40;38;0;0;0
76;2;12;14;2;3;0;4;1;40;38;0;0;1
44;2;9;13;2;3;0;4;1;60;38;1;0;1
47;4;12;14;4;9;1;4;0;50;38;0;0;0
20;2;15;10;4;12;3;4;0;40;38;0;0;0
29;2;11;9;4;2;1;4;1;40;38;0;0;0
32;3;11;9;2;2;0;4;1;40;38;1;0;1
30;2;1;7;4;5;3;4;1;40;38;0;0;0
31;1;11;9;4;0;1;4;0;40;38;0;0;0
42;2;11;9;2;5;0;4;1;40;38;0;0;0
24;2;9;13;4;11;2;4;1;40;38;0;0;0
38;2;14;15;2;9;0;4;1;40;38;0;0;1
56;4;11;9;2;7;0;4;1;50;1;0;1;1
28;2;15;10;2;11;5;4;0;25;38;1;0;0
36;2;11;9;4;6;3;4;0;40;38;0;0;0
53;2;6;5;2;5;0;4;1;50;38;0;0;0
56;3;15;10;2;11;0;4;1;50;38;0;0;0
49;1;8;11;2;2;0;2;1;40;38;0;0;1
55;2;15;10;2;11;0;4;1;56;38;0;0;0
22;2;11;9;4;2;1;4;1;41;38;0;0;0
21;2;15;10;4;7;3;4;0;40;38;0;0;0
40;2;9;13;2;3;0;4;1;60;38;0;0;0
30;2;9;13;4;3;3;2;1;40;10;0;0;0
29;5;9;13;2;9;0;4;1;50;38;0;0;1
19;2;15;10;4;7;3;2;1;35;38;0;0;0
47;2;9;13;2;3;5;4;0;40;38;0;0;1
20;2;15;10;4;0;3;4;0;28;38;0;1;0
31;2;7;12;2;0;0;4;1;40;38;0;0;1
39;2;15;10;0;2;1;4;1;40;38;0;0;0
28;2;7;12;4;11;1;4;0;60;38;0;0;0
24;2;11;9;4;7;1;4;0;40;38;0;1;0
38;4;11;9;2;2;0;4;1;35;38;1;0;0
37;2;9;13;2;11;0;4;1;50;38;0;0;0
46;2;7;12;0;12;1;2;0;36;38;0;0;0
38;0;12;14;2;9;0;4;1;40;19;0;0;1
43;4;11;9;2;2;0;4;1;60;38;0;0;0
27;2;8;11;2;0;5;4;0;35;38;0;0;0
20;2;15;10;4;11;3;4;1;20;38;0;0;0
49;2;15;10;2;2;0;1;1;40;38;0;0;1
61;3;11;9;2;2;0;4;1;40;38;0;0;0
27;2;15;10;4;11;3;4;0;40;38;0;0;0
19;2;15;10;4;7;3;4;1;30;25;0;0;0
45;2;8;11;4;9;1;4;0;40;38;0;1;1
70;2;15;10;4;12;2;4;1;40;38;0;0;0
31;2;11;9;4;13;4;2;0;30;38;0;0;0
22;2;15;10;2;7;0;4;1;24;38;0;0;0
36;2;11;9;6;7;4;4;0;24;38;0;0;0
64;2;1;7;2;2;0;4;1;40;38;0;1;0
47;1;15;10;0;0;4;4;0;38;25;0;0;0
34;2;11;9;4;0;1;4;0;40;38;0;0;0
33;2;9;13;4;3;2;1;0;40;29;0;0;0
21;2;11;9;4;2;3;4;1;35;38;0;0;0
48;2;11;9;2;2;0;4;1;46;38;0;0;0
23;2;9;13;4;5;1;4;1;40;38;0;0;0
71;4;15;10;5;11;4;2;1;2;38;0;1;0
29;2;11;9;0;2;1;4;1;60;38;0;0;0
42;2;9;13;5;7;2;2;1;50;38;0;0;0
25;2;11;9;4;7;4;4;0;40;38;0;0;0
44;3;12;14;0;3;4;1;0;40;38;0;0;0
28;2;11;9;4;3;1;1;0;40;8;0;0;0
45;4;12;14;2;11;0;4;1;40;38;0;0;1
36;2;15;10;0;7;4;4;0;40;25;0;0;0
39;0;7;12;4;3;1;4;1;42;38;0;0;0
46;5;12;14;6;10;4;4;1;40;38;0;0;0
