Classificador,Fold,Acurácia,Precisão,Revocação,F1-score,AUC-ROC
Decision Tree,1,0.793046357615894,0.5827814569536424,0.5866666666666667,0.584717607973422,0.7365785609397945
Decision Tree,2,0.7963576158940397,0.5909090909090909,0.6026490066225165,0.5967213114754099,0.7429133225150945
Decision Tree,3,0.7844112769485904,0.5714285714285714,0.5333333333333333,0.5517241379310345,0.7100809418690213
Decision Tree,4,0.7711442786069652,0.5384615384615384,0.56,0.5490196078431373,0.7065121412803532
Decision Tree,5,0.7993366500829188,0.6058394160583942,0.5533333333333333,0.578397212543554,0.7391169977924945
Random Forest,1,0.8394039735099338,0.6992481203007519,0.62,0.657243816254417,0.8816446402349486
Random Forest,2,0.8294701986754967,0.6764705882352942,0.609271523178808,0.6411149825783972,0.893074865137494
Random Forest,3,0.8275290215588723,0.6885245901639344,0.56,0.6176470588235294,0.882075055187638
Random Forest,4,0.8291873963515755,0.6942148760330579,0.56,0.6199261992619927,0.8798381162619573
Random Forest,5,0.8308457711442786,0.6935483870967742,0.5733333333333334,0.6277372262773723,0.8638631346578367
SVM,1,0.8261589403973509,0.7368421052631579,0.4666666666666667,0.5714285714285714,0.8506461086637298
SVM,2,0.8112582781456954,0.6697247706422018,0.48344370860927155,0.5615384615384615,0.8523091092495944
SVM,3,0.8043117744610282,0.6632653061224489,0.43333333333333335,0.5241935483870968,0.8527299484915379
SVM,4,0.8126036484245439,0.6989247311827957,0.43333333333333335,0.5349794238683128,0.8588079470198674
SVM,5,0.8159203980099502,0.7096774193548387,0.44,0.5432098765432098,0.8349963208241354
KNN,1,0.8079470198675497,0.6287878787878788,0.5533333333333333,0.5886524822695035,0.8544566813509544
KNN,2,0.8079470198675497,0.64,0.5298013245033113,0.5797101449275363,0.8403724982822391
KNN,3,0.8109452736318408,0.65,0.52,0.5777777777777777,0.8246946284032377
KNN,4,0.8225538971807629,0.6747967479674797,0.5533333333333333,0.608058608058608,0.8492788815305372
KNN,5,0.8126036484245439,0.6456692913385826,0.5466666666666666,0.592057761732852,0.8348933038999264
MLP,1,0.8344370860927153,0.6923076923076923,0.6,0.6428571428571429,0.8686343612334801
MLP,2,0.8377483443708609,0.8045977011494253,0.46357615894039733,0.5882352941176471,0.8688800198821689
MLP,3,0.8175787728026535,0.7127659574468085,0.44666666666666666,0.5491803278688525,0.8830316409124356
MLP,4,0.8441127694859039,0.7745098039215687,0.5266666666666666,0.626984126984127,0.8910669610007358
MLP,5,0.8391376451077943,0.7789473684210526,0.49333333333333335,0.6040816326530613,0.8498160412067696
LVQ,1,0.7516556291390728,0.0,0.0,0.0,0.5
LVQ,2,0.75,0.0,0.0,0.0,0.5
LVQ,3,0.24875621890547264,0.24875621890547264,1.0,0.398406374501992,0.5
LVQ,4,0.7512437810945274,0.0,0.0,0.0,0.5
LVQ,5,0.7512437810945274,0.0,0.0,0.0,0.5
