Classificador,Dobra,Acurácia,Precisão,Revocação,F1-score,AUC-ROC
Decision Tree,1,0.8180561953017043,0.6254901960784314,0.609942638623327,0.6176185866408519,0.74702229018545
Decision Tree,2,0.8126535626535627,0.609159347553325,0.6192602040816326,0.614168247944339,0.7466244386103956
Decision Tree,3,0.807585995085995,0.5963302752293578,0.6218112244897959,0.6088042460193569,0.7441580394293639
Decision Tree,4,0.8132678132678133,0.6071863580998782,0.6358418367346939,0.621183800623053,0.7526903358430751
Decision Tree,5,0.8112714987714987,0.6021699819168174,0.6371173469387755,0.6191509141617602,0.7518111006538537
Random Forest,1,0.8556732688469215,0.7380772142316427,0.621414913957935,0.6747404844290658,0.9040678157505553
Random Forest,2,0.8605651105651105,0.7484939759036144,0.6339285714285714,0.68646408839779,0.9075527283121987
Random Forest,3,0.8571867321867321,0.743140243902439,0.6218112244897959,0.6770833333333334,0.9051172881167029
Random Forest,4,0.8527334152334153,0.7305071915215746,0.6154336734693877,0.6680512287988923,0.9044377383841888
Random Forest,5,0.8607186732186732,0.7486832204665161,0.6345663265306123,0.6869175008629617,0.9088986702083746
SVM,1,0.7971748810072163,0.9881889763779528,0.15997450605481198,0.27537026878771254,0.6340300079823276
SVM,2,0.7911547911547911,0.9601769911504425,0.13839285714285715,0.241917502787068,0.625384020416419
SVM,3,0.7942260442260443,0.9830508474576272,0.14795918367346939,0.2572062084257206,0.6168584317829073
SVM,4,0.7959152334152334,0.9799196787148594,0.1556122448979592,0.2685745734727573,0.6272349162662638
SVM,5,0.7976044226044227,0.9734848484848485,0.1639030612244898,0.28056768558951967,0.6410650045819298
KNN,1,0.7808997389835713,0.5787139689578714,0.3326959847036329,0.42250101173613924,0.6790531324963234
KNN,2,0.7764127764127764,0.5629213483146067,0.319515306122449,0.4076484947111473,0.6709823492503798
KNN,3,0.7733415233415234,0.5528735632183908,0.3067602040816326,0.3945857260049221,0.6585657966159765
KNN,4,0.7773341523341524,0.568445475638051,0.3125,0.40329218106995884,0.6780674420860577
KNN,5,0.7862407862407862,0.5932203389830508,0.35714285714285715,0.445859872611465,0.6817514968669507
